empresa,loss_detail,plutto_use_case
AbastibleTec,Price,Compliance;Onboarding proveedores;Monitoreo proveedores;Conflicto de interés
Aerovias DAP,Price,Compliance
Aguas Antofagasta,Low volume,
APTUS,Price,Compliance
Artel,Price,Compliance
Artel,Price,Compliance
Banco de Chile,Otro proveedor;Price,Leads
BioMar Chile,Low volume;Wrongly Qualifed,
Bridge Ventures,Price;Low volume,Compliance;Onboarding clientes
C&L Fruit,Price;Decision maker not invovled,Compliance;Onboarding proveedores;Monitoreo proveedores;Conflicto de interés
Caja Los Andes,Otro proveedor;Price,Onboarding proveedores
Clínica Las Condes,Price;Decision maker not invovled,Compliance;Onboarding proveedores;Monitoreo proveedores;Carga Masiva;Conflicto de interés
Co-Work LatAm,Price,
COHLERS+PARTNERS,Low volume,
Collico,Price,Compliance
Compañia Mantos de la Luna,Price;Low volume,
Constructora Elisur,Low volume,Compliance
COPEC,Price;Otro proveedor,RFI
Cramer,Price,Compliance
Cámara Franco Chilena para el Comercio y la Industria,Price;Low volume,Compliance
Diavaz Oficial,Price;No contesta a seguimiento,Onboarding proveedores;Compliance
DVP Interactive,Price,
Ecopreneur ,Price;Low volume,
Enlasa Generación,Price;Otro proveedor,Compliance
Esmax,Price,Compliance;Onboarding proveedores
Eternity Chile,Price,Onboarding proveedores;Monitoreo proveedores
FACM,Price,Onboarding proveedores;Conflicto de interés;Carga Masiva
FDA Ingenieros,Low volume,
"Fiordo Austral, S.A.",Price;Otro proveedor,Onboarding proveedores;Monitoreo proveedores;Conflicto de interés
Forestal O'Higgins,Low volume,Onboarding proveedores;Conflicto de interés
Forpay,Does not fit risk team;Low volume,Onboarding clientes
Generadora Metropolitana,Price;Otro proveedor,Compliance;Monitoreo proveedores;Onboarding proveedores;Conflicto de interés
Grupo Lagos,Price,Compliance
Grupo Sendero,Price,Onboarding proveedores;Conflicto de interés;Compliance;Carga Masiva
Himmel,Price,Onboarding clientes
IceStar Latam,Price;Otro proveedor;Low volume,Onboarding proveedores;Monitoreo proveedores
Independencia S.A,Price,Onboarding proveedores
Inewen,Price,
INTERFACTOR S.A.,Price,
IPCHILE,Does not fit risk team;Price;Wrongly Qualifed;Decision maker not invovled,Gestión de contratos
JX Advanced Metals Corporation,Price;Low volume,Onboarding proveedores
K18 Hair Chile,Low volume,
Kaudat,Low volume,
Kavak,Price,Compliance
molymetnos.cl,Price;Otro proveedor,Compliance
Multi X,Price,Onboarding proveedores
Mutual de Seguros de Chile,Low volume,
MyMA - Minería y Medio Ambiente,Low volume,Compliance
NCG Servicios,Price,Onboarding proveedores
Nexcar Renting,Price,Onboarding clientes
Novaclima,Wrongly Qualifed;Low volume,
nutrisco.cl,Price,Compliance;Onboarding proveedores
NUVO MSP,Wrongly Qualifed;Low volume,
Opticas Schilling,Price,
Oxiquim,Price;Does not fit risk team;Otro proveedor,Onboarding proveedores;Carga Masiva
PATACON,Price;Otro proveedor,Onboarding proveedores
PESCO,Price,
Productos Pulmahue SpA,Price,
Quesos Don Jaime ,Price;Does not fit risk team,
redmc.com,Price,Onboarding clientes
RELIABLE ENERGY ING. LTDA.,Wrongly Qualifed;Low volume,
Rental Patagonia,Price,Onboarding clientes;Conflicto de interés
sagafalabella.com.pe,Price,Compliance;Onboarding proveedores;Monitoreo proveedores
Salfa,Price,Conflicto de interés
Stellantis,Low volume,Compliance
Surfrut,Otro proveedor;Price,Onboarding proveedores;Carga Masiva;Conflicto de interés;Compliance
Unibag Corp,Low volume,
Vigaflow S.A.,Price,
WebCarga SpA,Price,Onboarding proveedores;Control contratistas
WOM Chile,Price,Carga Masiva;Onboarding proveedores;Conflicto de interés;Compliance
